"name","region","gender"
"Alana Moreira",0,"F"
"Luana da Cruz",0,"F"
"Dra. Mariane Barros",0,"F"
"Isabella Moura",0,"F"
"Alícia Oliveira",0,"F"
"Isabel Nunes",0,"F"
"Olivia Cunha",0,"F"
"Maria Cecília Mendes",0,"F"
"Maria Alice Moura",0,"F"
"Agatha Alves",0,"F"
"Ana Laura Fogaça",0,"F"
"Clara Farias",0,"F"
"Agatha Gonçalves",0,"F"
"Dra. Mirella da Cunha",0,"F"
"Rebeca Campos",0,"F"
"Maria Cecília Novaes",0,"F"
"Ana Vitória Melo",0,"F"
"Luiza da Paz",0,"F"
"Laís Araújo",0,"F"
"Milena da Conceição",0,"F"
"Emanuelly Almeida",0,"F"
"Srta. Sophia Porto",0,"F"
"Maria Vitória Rocha",0,"F"
"Ana Júlia Correia",0,"F"
"Emanuelly Novaes",0,"F"
"Maria Fernanda Martins",0,"F"
"Ana da Cunha",0,"F"
"Giovanna Jesus",0,"F"
"Gabrielly Silva",0,"F"
"Luana Duarte",0,"F"
"Beatriz Teixeira",0,"F"
"Dra. Esther da Mata",0,"F"
"Maitê da Rocha",0,"F"
"Nicole da Rosa",0,"F"
"Sabrina Fernandes",0,"F"
"Maria Fernanda Rocha",0,"F"
"Camila Rezende",0,"F"
"Maysa Oliveira",0,"F"
"Clara Nogueira",0,"F"
"Maria Fernanda Nogueira",0,"F"
"Maria Eduarda da Cruz",0,"F"
"Júlia Cunha",0,"F"
"Dra. Lorena Silveira",0,"F"
"Valentina Duarte",0,"F"
"Raquel Cavalcanti",0,"F"
"Catarina Moraes",0,"F"
"Lara Pires",0,"F"
"Maria Cecília da Cunha",0,"F"
"Sra. Gabrielly Novaes",0,"F"
"Milena da Rosa",0,"F"
"Sra. Nina Ferreira",0,"F"
"Clara Gonçalves",0,"F"
"Ana Laura Novaes",0,"F"
"Emilly Dias",0,"F"
"Amanda Moura",0,"F"
"Rebeca Jesus",0,"F"
"Heloísa Duarte",0,"F"
"Luana Moreira",0,"F"
"Srta. Giovanna Freitas",0,"F"
"Milena Cardoso",0,"F"
"Ana Julia Araújo",0,"F"
"Maria Luiza Fogaça",0,"F"
"Ana Júlia Oliveira",0,"F"
"Maria Sophia da Mata",0,"F"
"Bruna Almeida",0,"F"
"Olivia Pires",0,"F"
"Kamilly Nunes",0,"F"
"Ana Vitória Aragão",0,"F"
"Emilly Fernandes",0,"F"
"Emilly Pereira",0,"F"
"Ana Vitória Carvalho",0,"F"
"Luiza Sales",0,"F"
"Dra. Lorena Teixeira",0,"F"
"Ana Luiza Barbosa",0,"F"
"Luiza Costela",0,"F"
"Valentina Fernandes",0,"F"
"Maria Ramos",0,"F"
"Joana Aragão",0,"F"
"Camila Moreira",0,"F"
"Stephany Nunes",0,"F"
"Maria Cecília Campos",0,"F"
"Isadora Santos",0,"F"
"Maysa Caldeira",0,"F"
"Evelyn da Luz",0,"F"
"Sarah Moreira",0,"F"
"Ana Beatriz da Mota",0,"F"
"Sra. Mariana Pinto",0,"F"
"Raquel Vieira",0,"F"
"Srta. Cecília Mendes",0,"F"
"Natália Fogaça",0,"F"
"Luna Caldeira",0,"F"
"Isabelly Azevedo",0,"F"
"Marina Correia",0,"F"
"Gabriela da Luz",0,"F"
"Larissa Cavalcanti",0,"F"
"Dra. Mariana Nascimento",0,"F"
"Elisa Lima",0,"F"
"Isadora Lima",0,"F"
"Elisa Caldeira",0,"F"
"Eduarda Ramos",0,"F"
"Maria Vitória Ramos",0,"F"
"Marcela Castro",0,"F"
"Julia Campos",0,"F"
"Sabrina Cunha",0,"F"
"Maria Clara da Mota",0,"F"
"Gabrielly Costa",0,"F"
"Mariana Ferreira",0,"F"
"Luna Costa",0,"F"
"Emanuelly Rodrigues",0,"F"
"Ana Luiza Costa",0,"F"
"Eduarda Silveira",0,"F"
"Ana Julia Barros",0,"F"
"Sra. Ana Vitória Aragão",0,"F"
"Dra. Sabrina da Mata",0,"F"
"Sra. Ana Beatriz Nunes",0,"F"
"Ana Carolina Cunha",0,"F"
"Sra. Ana Sophia Mendes",0,"F"
"Eduarda da Luz",0,"F"
"Lavínia Peixoto",0,"F"
"Isadora Costela",0,"F"
"Ana Laura Azevedo",0,"F"
"Eduarda Ribeiro",0,"F"
"Marina Sales",0,"F"
"Esther da Conceição",0,"F"
"Lavínia Pinto",0,"F"
"Clarice Moreira",0,"F"
"Julia Correia",0,"F"
"Luiza Moraes",0,"F"
"Sra. Gabriela Cavalcanti",0,"F"
"Luana Vieira",0,"F"
"Isadora Barros",0,"F"
"Kamilly Silveira",0,"F"
