"name","region","gender"
"Enrico Correia",0,"M"
"Gustavo Henrique Alves",0,"M"
"Benjamin Barros",0,"M"
"Luiz Otávio Martins",0,"M"
"Lucas Gomes",0,"M"
"Carlos Eduardo Cardoso",0,"M"
"Dr. Lucas Gabriel Fernandes",0,"M"
"Joaquim da Mata",0,"M"
"Yuri Barros",0,"M"
"Heitor Aragão",0,"M"
"Luiz Fernando Teixeira",0,"M"
"Leandro da Rosa",0,"M"
"Vitor Gabriel Porto",0,"M"
"Dr. Joaquim Mendes",0,"M"
"Renan Nascimento",0,"M"
"Alexandre Rezende",0,"M"
"Arthur Sales",0,"M"
"Gabriel da Cunha",0,"M"
"Dr. Alexandre Caldeira",0,"M"
"Lucas Cardoso",0,"M"
"Lucas Gabriel da Costa",0,"M"
"Vitor Hugo da Rocha",0,"M"
"Enrico Caldeira",0,"M"
"Sr. Lucas Gabriel Oliveira",0,"M"
"Breno Azevedo",0,"M"
"Lucas Novaes",0,"M"
"Sr. Gabriel Costa",0,"M"
"Carlos Eduardo Pinto",0,"M"
"Lucas Gabriel Melo",0,"M"
"Yago Peixoto",0,"M"
"João Lopes",0,"M"
"Leonardo da Cunha",0,"M"
"Pedro Carvalho",0,"M"
"Vitor Gabriel Ramos",0,"M"
"Gabriel da Cruz",0,"M"
"Bernardo Melo",0,"M"
"Dr. Breno Barros",0,"M"
"Davi Lucas Fogaça",0,"M"
"Gabriel Pinto",0,"M"
"Nathan Pereira",0,"M"
"Gustavo Henrique Castro",0,"M"
"Guilherme Jesus",0,"M"
"Eduardo Fernandes",0,"M"
"João Castro",0,"M"
"Henrique Gonçalves",0,"M"
"Diego Fernandes",0,"M"
"Benício das Neves",0,"M"
"Vicente Duarte",0,"M"
"Sr. João Pedro Jesus",0,"M"
"Luiz Gustavo Silva",0,"M"
"Davi Luiz Carvalho",0,"M"
"Thales Moura",0,"M"
"Rafael Gonçalves",0,"M"
"Dr. Matheus Gomes",0,"M"
"Francisco Rezende",0,"M"
"Pedro Henrique Teixeira",0,"M"
"Kevin Alves",0,"M"
"Vicente Aragão",0,"M"
"Paulo Araújo",0,"M"
"Anthony Duarte",0,"M"
"Vitor Gabriel da Costa",0,"M"
"Sr. João Felipe Alves",0,"M"
"Henrique Lima",0,"M"
"Breno Ramos",0,"M"
"Sr. Pedro Rocha",0,"M"
"João Pedro Vieira",0,"M"
"Emanuel Barros",0,"M"
"Gabriel da Costa",0,"M"
"Davi Lucas Rezende",0,"M"
"Sr. Vitor Gabriel Monteiro",0,"M"
"Murilo Santos",0,"M"
"Cauã Martins",0,"M"
"Yuri Teixeira",0,"M"
"João Lucas Monteiro",0,"M"
"Miguel Carvalho",0,"M"
"Danilo Gomes",0,"M"
"Luiz Miguel Farias",0,"M"
"Dr. Eduardo Lima",0,"M"
"Diego Moura",0,"M"
"Paulo Silveira",0,"M"
"Vitor Gabriel Cavalcanti",0,"M"
"Francisco Sales",0,"M"
"Dr. Levi Pires",0,"M"
"Benício Cardoso",0,"M"
"Igor Castro",0,"M"
"Cauê Barbosa",0,"M"
"Caio Rocha",0,"M"
"Dr. Matheus Freitas",0,"M"
"Dr. Paulo da Cruz",0,"M"
"Bernardo Cunha",0,"M"
"Luiz Miguel da Cruz",0,"M"
"Dr. Diogo Correia",0,"M"
"Sr. Nicolas Dias",0,"M"
"Diogo Mendes",0,"M"
"Sr. Theo Fogaça",0,"M"
"Renan da Rocha",0,"M"
"João Duarte",0,"M"
"Emanuel Alves",0,"M"
"Marcos Vinicius Viana",0,"M"
"Miguel Farias",0,"M"
"Dr. Lucas Araújo",0,"M"
"Davi Costa",0,"M"
"Marcelo Costela",0,"M"
"Antônio Fernandes",0,"M"
"Dr. Benjamin Rezende",0,"M"
"Davi Luiz da Paz",0,"M"
"Dr. Thiago Teixeira",0,"M"
"Lucas Ramos",0,"M"
"Kaique Castro",0,"M"
"Erick Correia",0,"M"
"Yuri Novaes",0,"M"
"Benício Jesus",0,"M"
"Breno Silveira",0,"M"
"Nicolas Moreira",0,"M"
"Vitor Martins",0,"M"
"Igor Campos",0,"M"
"Danilo Porto",0,"M"
"Pietro Costela",0,"M"
"Matheus Alves",0,"M"
"Dr. Raul Alves",0,"M"
"João Gabriel Moura",0,"M"
"André Teixeira",0,"M"
"Davi Lucca Freitas",0,"M"
"Enzo Viana",0,"M"
"Samuel da Cunha",0,"M"
"Leonardo da Cunha",0,"M"
"Vitor Gabriel Cavalcanti",0,"M"
"Ian Caldeira",0,"M"
"João Lucas Viana",0,"M"
"Dr. Luiz Gustavo Caldeira",0,"M"
"Bruno Almeida",0,"M"
"João Felipe Ribeiro",0,"M"
"Dr. Cauã da Rosa",0,"M"
"Francisco Rodrigues",0,"M"
"Levi Rezende",0,"M"
"Benjamin da Luz",0,"M"
"Thales Gonçalves",0,"M"
"Leandro Azevedo",0,"M"
"Sr. Benício Pereira",0,"M"
"Dr. Danilo das Neves",0,"M"
"Gustavo Silveira",0,"M"
"Lorenzo Oliveira",0,"M"
"Matheus Silva",0,"M"
"Arthur da Costa",0,"M"
"Vitor Gabriel Mendes",0,"M"
"Cauê Jesus",0,"M"
"João Gabriel Rodrigues",0,"M"
"Isaac Martins",0,"M"
"Benício Martins",0,"M"
"Sr. Eduardo Castro",0,"M"
"Gustavo Moreira",0,"M"
"Pedro da Mota",0,"M"
"Nathan Alves",0,"M"
"Gustavo Moreira",0,"M"
"Leonardo da Cruz",0,"M"
"Dr. Heitor Freitas",0,"M"
"João Miguel Teixeira",0,"M"
"Sr. Vicente da Paz",0,"M"
"Caio Alves",0,"M"
"João Araújo",0,"M"
"Marcelo Nascimento",0,"M"
"Dr. João Felipe Sales",0,"M"
"Murilo Ferreira",0,"M"
"Luiz Henrique Souza",0,"M"
"Erick Dias",0,"M"
"Dr. Theo Barros",0,"M"
"João Vitor Rodrigues",0,"M"
"Gustavo Henrique da Paz",0,"M"
"Arthur Pires",0,"M"
"Vinicius da Cunha",0,"M"
"Erick Pires",0,"M"
"João Vitor Araújo",0,"M"
"Arthur Aragão",0,"M"
"Luiz Felipe Cavalcanti",0,"M"
"Sr. Cauê Pires",0,"M"
"Pedro Freitas",0,"M"
"Gabriel da Conceição",0,"M"
"Dr. Vinicius Alves",0,"M"
"Pietro Melo",0,"M"
"João Correia",0,"M"
"João Miguel Gonçalves",0,"M"
"Dr. Gustavo Henrique Campos",0,"M"
"Sr. Benício Rezende",0,"M"
"Thiago Melo",0,"M"
"Diego Rocha",0,"M"
"Isaac da Mata",0,"M"
"Heitor Moura",0,"M"
"Levi Monteiro",0,"M"
"João Santos",0,"M"
"Sr. Kaique da Cunha",0,"M"
"Rodrigo Novaes",0,"M"
"Kaique Martins",0,"M"
"Davi Lucca Gomes",0,"M"
"Enzo Gabriel Oliveira",0,"M"
"Igor Aragão",0,"M"
"Augusto Rocha",0,"M"
"Dr. Pietro Martins",0,"M"
"Dr. Yuri Mendes",0,"M"
"Fernando da Luz",0,"M"
"Bryan Monteiro",0,"M"
"Theo Melo",0,"M"
"Vinicius da Mata",0,"M"
"Erick Oliveira",0,"M"
"Emanuel Pereira",0,"M"
"Vinicius Barbosa",0,"M"
"João Gabriel da Costa",0,"M"
"Pedro Lucas Silva",0,"M"
"Sr. Luiz Henrique da Mota",0,"M"
"Bruno Correia",0,"M"
"Marcos Vinicius Araújo",0,"M"
"Bruno Lopes",0,"M"
"Daniel Ramos",0,"M"
"Pedro Araújo",0,"M"
"Sr. Lucas Gonçalves",0,"M"
"Bernardo Almeida",0,"M"
"Vinicius Vieira",0,"M"
"Rafael Silveira",0,"M"
"Enzo Gabriel Cunha",0,"M"
"Raul Novaes",0,"M"
"Sr. João Pedro Moraes",0,"M"
"Yago Araújo",0,"M"
"Thiago Jesus",0,"M"
"Enzo da Costa",0,"M"
"Leandro Novaes",0,"M"
"Augusto Oliveira",0,"M"
"Francisco Farias",0,"M"
"Vitor Rodrigues",0,"M"
"Caio da Costa",0,"M"
"Lucca Rocha",0,"M"
"Bruno Nunes",0,"M"
"Nathan Jesus",0,"M"
"Dr. Paulo Silva",0,"M"
"Dr. Lucas Gabriel Martins",0,"M"
"Benício Duarte",0,"M"
"Renan Correia",0,"M"
"Thales Peixoto",0,"M"
"Thiago Almeida",0,"M"
"Davi Lopes",0,"M"
"João Guilherme Gomes",0,"M"
"Vicente Sales",0,"M"
"Pietro Porto",0,"M"
"Dr. Vinicius Castro",0,"M"
"Murilo da Cunha",0,"M"
"Pedro Henrique da Cruz",0,"M"
"Enzo Gabriel Nascimento",0,"M"
"Isaac Peixoto",0,"M"
"Luiz Henrique Cunha",0,"M"
"Bruno da Cruz",0,"M"
"Dr. Luiz Henrique Almeida",0,"M"
"Benício Correia",0,"M"
"Lucas Silva",0,"M"
"Cauê Novaes",0,"M"
"Ryan Gonçalves",0,"M"
"João Lucas Carvalho",0,"M"
"Benjamin Sales",0,"M"
"Anthony Freitas",0,"M"
"João Felipe Viana",0,"M"
"Levi Lima",0,"M"
"Vinicius Oliveira",0,"M"
"Dr. Samuel Barbosa",0,"M"
"André Rocha",0,"M"
"Dr. Enrico Araújo",0,"M"
"Gustavo Carvalho",0,"M"
"Theo Dias",0,"M"
"Sr. Francisco Cardoso",0,"M"
"João Lucas Silva",0,"M"
"João Miguel Silveira",0,"M"
"Carlos Eduardo Novaes",0,"M"
"Luiz Miguel Pires",0,"M"
"Sr. João Guilherme Araújo",0,"M"
"João Lucas Pereira",0,"M"
"Enrico Cardoso",0,"M"
"Ryan Freitas",0,"M"
"Marcos Vinicius Souza",0,"M"
"Sr. João Felipe da Rocha",0,"M"
"Dr. Ryan Gonçalves",0,"M"
"Matheus da Rocha",0,"M"
"Breno Cardoso",0,"M"
"Cauê da Rosa",0,"M"
"Thomas Moreira",0,"M"
"Benjamin Farias",0,"M"
"Sr. Bryan Campos",0,"M"
"Diogo Carvalho",0,"M"
"Noah Gonçalves",0,"M"
"Emanuel Santos",0,"M"
"Paulo Aragão",0,"M"
"Pietro Rodrigues",0,"M"
"Enzo Alves",0,"M"
"Leonardo Azevedo",0,"M"
"Raul Barbosa",0,"M"
"Marcos Vinicius da Paz",0,"M"
"Renan das Neves",0,"M"
"Joaquim Freitas",0,"M"
"Bernardo Rezende",0,"M"
"Rodrigo Ferreira",0,"M"
"Raul Fogaça",0,"M"
"Luiz Miguel Novaes",0,"M"
"Luiz Gustavo Correia",0,"M"
"Matheus Vieira",0,"M"
"Yuri Vieira",0,"M"
"Paulo Lopes",0,"M"
"Sr. Breno Ramos",0,"M"
"Marcelo Peixoto",0,"M"
"Renan da Cunha",0,"M"
"Diego Moreira",0,"M"
"Bryan Farias",0,"M"
"Dr. Bryan da Rocha",0,"M"
"Lucca Sales",0,"M"
"Juan Gonçalves",0,"M"
"Luigi da Rosa",0,"M"
